חודש חישוב,סמל מוטב,שם מוטב,סמל ישוב,שם ישוב,קוד חישוב,זכאות למענק,חודש תחולה,קוד נושא,תאור תת נושא,מספר ילדים,עלות,אחוז,אחוז הנחה,השתתפות הורים,השתתפות רשות,סך משרות,אחוז משרות לאופק,אחוז משרות לא לאופק,ותק אופק,ותק לא באופק,פרופיל ימי הבראה,שעות גיל,דרגה,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,003,ילדי ח"מ 5י' קשה,25,1042.97,100,0,0,0,,,,,,,,,26074.25,23988.31,2085.94
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,003,גיל 3-4 5י',289,1006.91,90,0,0,0,,,,,,,,,261897.29,260991.07,906.22
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,003,ילדי השלמה 5י',44,964.6,90,0,0,0,,,,,,,,,38198.16,38198.16,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,003,ילדי ח"מ 5י' קל,12,1006.91,100,0,0,0,,,,,,,,,12082.92,12082.92,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,003,ילדי ח"מ 5י' קשה,26,1076.24,100,0,0,0,,,,,,,,,27982.24,25829.76,2152.48
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,003,גיל 3-4 5י',293,1040.18,90,0,0,0,,,,,,,,,274295.46,273359.3,936.16
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,003,ילדי השלמה 5י',44,997.87,90,0,0,0,,,,,,,,,39515.65,39515.65,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,003,ילדי ח"מ 5י' קל,12,1040.18,100,0,0,0,,,,,,,,,12482.16,12482.16,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,003,ילדי ח"מ 5י' קשה,26,1042.97,100,0,0,0,,,,,,,,,27117.22,25031.28,2085.94
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,003,גיל 3-4 5י',292,1006.91,90,0,0,0,,,,,,,,,264615.94,264615.94,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,003,ילדי השלמה 5י',44,964.6,90,0,0,0,,,,,,,,,38198.16,38198.16,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,003,ילדי ח"מ 5י' קל,13,1006.91,100,0,0,0,,,,,,,,,13089.83,12082.92,1006.91
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,003,ילדי ח"מ 5י' קשה,26,1042.97,100,0,0,0,,,,,,,,,27117.22,25031.28,2085.94
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,003,גיל 3-4 5י',291,1006.91,90,0,0,0,,,,,,,,,263709.72,264615.94,-906.22
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,003,ילדי השלמה 5י',44,964.6,90,0,0,0,,,,,,,,,38198.16,38198.16,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,003,ילדי ח"מ 5י' קל,13,1006.91,100,0,0,0,,,,,,,,,13089.83,11076.01,2013.82
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,01/2026,003,ילדי ח"מ 5י' קשה,26,1047.96,100,0,0,0,,,,,,,,,27246.96,25151.04,2095.92
