חודש חישוב,סמל מוטב,שם מוטב,סמל ישוב,שם ישוב,קוד חישוב,זכאות למענק,חודש תחולה,קוד נושא,תאור תת נושא,ילדי סטיה,מספר ילדי חובה,מספר משרות בגני חובה,עלות,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,019,עוזרות 5 ימים,0,323,10.41,11970.09,124608.63,123890.43,718.2
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,019,עוזרות 5 ימים,0,323,10.41,13001.39,135344.46,134564.38,780.08
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,01/2026,019,עוזרות 5 ימים,0,321,10.35,12108.67,125324.73,124598.21,726.52
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,019,עוזר 5 י'(חנמ קשה),170,21,6.16,14119.17,86974.08,87821.23,-847.15
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,019,עוזרות 5 ימים,0,322,10.38,11970.09,124249.53,123531.32,718.21
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,019,עוזר 5 י'(חנמ קשה),171,21,6.19,13087.87,81013.91,81799.18,-785.27
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,09/2025,019,עוזר 5 י'(חנמ קל),68,12,2.58,11970.09,30882.83,30882.83,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,02/2026,019,עוזרות 5 ימים,0,323,10.41,12108.67,126051.25,124961.47,1089.78
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,01/2026,019,עוזר 5 י'(חנמ קשה),170,21,6.16,13237.14,81540.78,82335.01,-794.23
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,10/2025,019,עוזר 5 י'(חנמ קל),68,12,2.58,13001.39,33543.58,33543.58,0
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,019,עוזר 5 י'(חנמ קל),67,12,2.54,11970.09,30404.02,30882.83,-478.81
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,03/2026,019,עוזרות 5 ימים,0,323,10.41,12108.67,126051.25,0,126051.25
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,01/2026,019,עוזר 5 י'(חנמ קל),66,12,2.51,12108.67,30392.76,31240.36,-847.6
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,03/2026,019,עוזר 5 י'(חנמ קל),66,11,2.48,12108.67,30029.5,0,30029.5
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,019,עוזרות 5 ימים,0,323,10.41,11970.09,124608.63,123890.43,718.2
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,11/2025,019,עוזר 5 י'(חנמ קשה),170,21,6.16,13087.87,80621.27,81406.55,-785.28
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,019,עוזר 5 י'(חנמ קשה),169,22,6.16,13087.87,80621.27,81406.55,-785.28
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,02/2026,019,עוזר 5 י'(חנמ קשה),170,21,6.16,13237.14,81540.78,82335.01,-794.23
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,12/2025,019,עוזר 5 י'(חנמ קל),67,12,2.54,11970.09,30404.02,30882.83,-478.81
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,02/2026,019,עוזר 5 י'(חנמ קל),67,11,2.51,12108.67,30392.76,30756.02,-363.26
3/2026,10406544,עירית כפר קרע,06544,כפר קרע,1.0,מקבל מענק,03/2026,019,עוזר 5 י'(חנמ קשה),170,21,6.16,13237.14,81540.78,0,81540.78
