חודש חישוב,שם מוטב,סמל מוטב,חודש תחולה,קוד נושא,תאור נושא,ימי הסעה,מקדם התיקרות,מקדם מימון,סכום בסיס,סוג חישוב,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,2024/09,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/10,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/11,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/12,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/01,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/02,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/03,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/04,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/05,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/06,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/07,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,100,+000011439.76,1,0,0,0
3/2026,עירית כפר קרע,10406544,2025/08,052,הסעות ח.רגיל חיפה (מקדמה) ,00,0,100,+000011439.76,1,0,0,0
3/2026,עירית כפר קרע,10406544,2024/09,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/10,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/11,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2024/12,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/01,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/02,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/03,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
3/2026,עירית כפר קרע,10406544,2025/04,140,הסעות ח.מיוחד חיפה (מקדמה) ,00,0,0,+000000000.00,2,0,0,0
