מספר מסלול,סוג מסלול,תיאור סוג מסלול,מיגון,תיאר מיגון,קבוצה לתשלום,תיאור קבוצה לתשלום,תקופת מסלול,תיאור תקופת מסלול,חברת הסעה,תיאור חברת הסעה,נושא הסעה,תיאור נושא הסעה,ישובים,מוסדות,קוד נושא,שם נושא,חודש תחולה,כיוון נסיעה,תיאור כיוון נסיעה,מספר נסיעה,ימי ביצוע,כמות רכבים,סמל רכב,תיאור סמל רכב,מספר רישוי,קמ בנסיעה,תעריף לק''מ,עלות יומית,גובה התייצבות,אחוז השתתפות,מע''מ,התייקרות מצטברת,אחוז תשלום,הערה,סכום מחושב,סכום מחושב קודם,הפרש מחושב
301000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, תיכון עש אחמד ע.יחיא 378018;,052,הסעות ח.רגיל חיפה,202409,1,איסוף,1,21,1,300500,אוטובוס ציבורי זעיר (16),0,1.529,0,42,1,0.8,1.17,1,1, ,825.55,825.55,0
301000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, תיכון עש אחמד ע.יחיא 378018;,052,הסעות ח.רגיל חיפה,202409,2,פיזור,1,21,1,300500,אוטובוס ציבורי זעיר (16),0,1.53,0,42,1,0.8,1.17,1,1, ,825.55,825.55,0
302000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, יסודי אלחוארנה 338210;,052,הסעות ח.רגיל חיפה,202409,1,איסוף,1,21,1,300500,אוטובוס ציבורי זעיר (16),0,1.464,0,111,1,0.8,1.17,1,1, ,2181.81,2181.81,0
302000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, יסודי אלחוארנה 338210;,052,הסעות ח.רגיל חיפה,202409,2,פיזור,1,21,1,300500,אוטובוס ציבורי זעיר (16),0,1.284,0,111,1,0.8,1.17,1,1, ,2181.81,2181.81,0
303000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, אלחכים 318576;חט"ב אבן סינא 348029;,052,הסעות ח.רגיל חיפה,202409,1,איסוף,1,21,1,30000,אוטובוס בינוני,0,1.505,0,138,1,0.8,1.17,1,1, ,2712.52,2712.52,0
303000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, אלחכים 318576;חט"ב אבן סינא 348029;,052,הסעות ח.רגיל חיפה,202409,2,פיזור,1,21,1,30000,אוטובוס בינוני,0,1.519,0,138,1,0.8,1.17,1,1, ,2712.52,2712.52,0
303000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, אלחכים 318576;חט"ב אבן סינא 348029;,052,הסעות ח.רגיל חיפה,202410,1,איסוף,1,23,1,30000,אוטובוס בינוני,0,1.505,0,138,1,0.8,1.17,1,1, ,2970.86,2970.86,0
302000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, יסודי אלחוארנה 338210;,052,הסעות ח.רגיל חיפה,202410,2,פיזור,1,23,1,300500,אוטובוס ציבורי זעיר (16),0,1.284,0,111,1,0.8,1.17,1,1, ,2389.6,2389.6,0
302000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, יסודי אלחוארנה 338210;,052,הסעות ח.רגיל חיפה,202410,1,איסוף,1,23,1,300500,אוטובוס ציבורי זעיר (16),0,1.464,0,111,1,0.8,1.17,1,1, ,2389.6,2389.6,0
301000,2,שכור,0,ללא,1,רגיל,0,שנתי,511001778,אסיה תורס,16,הסעת תלמידים למוסד חינוכי, כפר קרע ;, תיכון עש אחמד ע.יחיא 378018;,052,הסעות ח.רגיל חיפה,202410,2,פיזור,1,23,1,300500,אוטובוס ציבורי זעיר (16),0,1.53,0,42,1,0.8,1.17,1,1, ,904.17,904.17,0
