חודש חישוב,סמל מוטב,שם מוטב,סמל מוסד,שם מוסד,תאור תפקיד,שיוך תפקיד,ספטמבר,אוקטובר,נובמבר,דצמבר,ינואר,פברואר,מרץ,אפריל,מאי,יוני,יולי,אוגיסט
3/2026,10406544,עירית כפר קרע,318188,אלמוסתקבל,מזכיר/ה,כללי,     .21,     .21,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,מזכיר/ה,כללי,     .14,     .14,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,338210,יסודי אלחוארנה,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,מזכיר/ה,כללי,     .14,     .14,     .14,     .14,     .14,     .14,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,317115,מחוננים כפר קרע,מזכיר/ה,חוות חקלאיות וכו',     .26,     .26,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,317115,מחוננים כפר קרע,מזכיר/ה,חוות חקלאיות וכו',     .32,     .32,     .32,     .32,     .32,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,384099,אלקיאן לקשר ותקשורת,שרת,כללי,    1.98,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,384099,אלקיאן לקשר ותקשורת,שרת,כללי,    2.30,    2.30,    2.30,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318188,אלמוסתקבל,שרת,כללי,     .68,     .68,     .68,     .68,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318352,כפר קרע א,שרת,כללי,     .23,     .23,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00,     .00
3/2026,10406544,עירית כפר קרע,318576,אלחכים,שרת,כללי,     .45,     .45,     .45,     .45,     .45,     .00,     .00,     .00,     .00,     .00,     .00,     .00
