חודש חישוב,שם מוטב,סמל מוטב,חודש תחולה,קוד נושא,תאור נושא,מספר יחידות,עלות,אחוז השתתפות,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,12/2024,170,סיעות כית.ב"ס חריגות,145,315,70,31972.5,31972.5,0
3/2026,עירית כפר קרע,10406544,03/2026,170,סיעות כית.ב"ס חריגות,170,321.05,70,38204.95,0,38204.95
3/2026,עירית כפר קרע,10406544,03/2026,045,קבסי"ם .16 B.A,2,15191.13,75,22786.69,0,22786.69
3/2026,עירית כפר קרע,10406544,05/2025,598,מסג.קיץ תלמיד-ח.רגיל,1000,349,100,349000,349000,0
3/2026,עירית כפר קרע,10406544,05/2025,671,מסג.קיץ-גנ"י -ח.רגיל,617,487.4,100,300725.8,300725.8,0
3/2026,עירית כפר קרע,10406544,11/2024,345,חוק שילוב - סייעות,1306,296.49,70,271051.15,271051.15,0
3/2026,עירית כפר קרע,10406544,12/2024,345,חוק שילוב - סייעות,1306,288.27,70,263536.43,263536.43,0
3/2026,עירית כפר קרע,10406544,10/2025,345,חוק שילוב - סייעות,1583,315.58,70,349694.19,349694.19,0
3/2026,עירית כפר קרע,10406544,05/2025,045,קבסי"ם .12 B.A,2,14386.04,75,21579.06,21579.06,0
3/2026,עירית כפר קרע,10406544,10/2024,046,קבטי"ם 7/10-ללא רכב,1,11664.72,75,8748.54,8748.54,0
3/2026,עירית כפר קרע,10406544,05/2025,046,קבטי"ם 7/10-ללא רכב,1,11116.53,75,8337.39,8337.39,0
3/2026,עירית כפר קרע,10406544,08/2025,046,קבטי"ם 7/10-ללא רכב,1,11116.53,75,8337.39,8337.39,0
3/2026,עירית כפר קרע,10406544,12/2025,046,קבטי"ם 7/10-ללא רכב,1,11116.53,75,8337.39,8337.39,0
3/2026,עירית כפר קרע,10406544,07/2025,708,גפן - סל רשותי,0.02,225782.7,100,225782.7,225782.7,0
3/2026,עירית כפר קרע,10406544,11/2024,258,ל. הסעות ח"מ - חיפה,103,985.14,100,101469.42,101469.42,0
3/2026,עירית כפר קרע,10406544,05/2025,258,ל. הסעות ח"מ - חיפה,103,1046.74,100,107814.22,107814.22,0
3/2026,עירית כפר קרע,10406544,06/2025,258,ל. הסעות ח"מ - חיפה,103,1046.74,100,107814.22,107814.22,0
3/2026,עירית כפר קרע,10406544,08/2025,258,ל. הסעות ח"מ - חיפה,103,1046.74,100,107814.22,107814.22,0
