חודש חישוב,סמל מוטב,שם מוטב,סמל מוסד,שם מוסד,סטטוס,אחוז רמת שרות,ותק מוסד,אחוז גמול השתלמות,סוג כיתה,חודש תחולה,מקבילה/כיתה,מסלול,מגמה,מחיר לתלמיד,(1) מספר תלמידים,(2) שעות לתלמיד,(3) עלות שעה שבועית,(4) עלות מרכיב קבוע,(5) עלות חומרים,סכום מחושב,סכום מחושב קודם,הפרש מחושב,גמול בגרות,עוז לתמורה אחוז מלא,עוז לתמורה אחוז חלקי,עוז לתמורה אחוז ללא,קוד עוז לתמורה,שעות גיל
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1001,1,3110,1272.054,4,1.88,539.55,257.7,0,5059.2,1264.8,3794.4,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1001,1,0099,1043.4195,18,1.49,539.55,239.49,0,18674.51,18674.51,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1001,7,0099,0,0,4.46,539.55,718.47,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1002,7,0099,3124.863,2,4.46,539.55,718.47,0,6214.1,6214.1,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1002,1,0099,1043.4195,9,1.49,539.55,239.49,0,9337.25,15562.09,-6224.84,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1003,7,3510,3124.863,4,4.46,539.55,718.47,0,12428.19,12428.19,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,ט,09/2025,1003,1,3510,2038.2895,13,3.09,539.55,371.08,0,26346.73,26346.73,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,ט,09/2025,1003,1,0099,2038.2895,5,3.09,539.55,371.08,0,10133.36,10133.36,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,ע,09/2025,1004,1,9999,1769.272,2,2.64,539.55,344.86,0,3518.37,3518.37,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,ע,09/2025,1004,1,0099,1769.272,22,2.64,539.55,344.86,0,38702.07,38702.07,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1004,7,0099,3124.863,1,4.46,539.55,718.47,0,3107.05,3107.05,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,0099,1043.4195,7,1.49,539.55,239.49,0,7262.31,6224.84,1037.47,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,1140,1358.382,1,2.04,539.55,257.7,0,1350.64,1350.64,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,1220,1272.054,7,1.88,539.55,257.7,0,8853.6,8853.6,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,1410,1358.382,2,2.04,539.55,257.7,0,2701.27,2701.27,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,9,3110,0,0,1.49,539.55,239.49,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,3110,1272.054,8,1.88,539.55,257.7,0,10118.39,10118.39,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,3310,1358.382,6,2.04,539.55,257.7,0,8103.82,8103.82,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,7,1410,3124.863,1,4.46,539.55,718.47,0,3107.05,3107.05,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,7,3110,0,0,4.46,539.55,718.47,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1005,1,2420,1272.054,3,1.88,539.55,257.7,0,3794.4,3794.4,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,7,2420,3124.863,1,4.46,539.55,718.47,0,3107.05,3107.05,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,7,1410,0,0,4.46,539.55,718.47,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,7,0099,0,0,4.46,539.55,718.47,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,3310,1358.382,6,2.04,539.55,257.7,0,8103.82,8103.82,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,3110,1272.054,4,1.88,539.55,257.7,0,5059.2,5059.2,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,2420,1272.054,9,1.88,539.55,257.7,0,11383.19,11383.19,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,1410,1358.382,1,2.04,539.55,257.7,0,1350.64,1350.64,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,1220,1272.054,6,1.88,539.55,257.7,0,7588.8,7588.8,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,1140,1358.382,2,2.04,539.55,257.7,0,2701.27,2701.27,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,1,0099,1043.4195,4,1.49,539.55,239.49,0,4149.89,4149.89,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,7,3110,3124.863,1,4.46,539.55,718.47,0,3107.05,3107.05,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,9,3110,0,0,1.49,539.55,239.49,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1006,7,3310,0,0,4.46,539.55,718.47,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,3110,1272.054,1,1.88,539.55,257.7,0,1264.8,2529.6,-1264.8,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,2420,1272.054,2,1.88,539.55,257.7,0,2529.6,2529.6,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,1410,1358.382,2,2.04,539.55,257.7,0,2701.27,2701.27,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,1220,1272.054,2,1.88,539.55,257.7,0,2529.6,2529.6,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,1140,1358.382,7,2.04,539.55,257.7,0,9454.46,9454.46,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,0099,1043.4195,4,1.49,539.55,239.49,0,4149.89,3112.42,1037.47,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,1,3310,1358.382,4,2.04,539.55,257.7,0,5402.55,5402.55,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1007,9,3110,0,0,1.49,539.55,239.49,0,0,0,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1008,1,3110,1272.054,5,1.88,539.55,257.7,0,6324,6324,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1008,1,2420,1272.054,2,1.88,539.55,257.7,0,2529.6,2529.6,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1008,1,1410,1358.382,3,2.04,539.55,257.7,0,4051.91,4051.91,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1008,1,1220,1272.054,4,1.88,539.55,257.7,0,5059.2,5059.2,0,1,97.35,0,2.65,01,1.06
3/2026,10406544,עירית כפר קרע,378018,תיכון עש אחמד ע.יחיא,פעיל,99.43,20,19.83,,09/2025,1008,1,1140,1358.382,3,2.04,539.55,257.7,0,4051.91,4051.91,0,1,97.35,0,2.65,01,1.06
