חודש חישוב,שם מוטב,סמל מוטב,סמל מוסד,שם מוסד,חודש תחולה,טווח כיתות,קוד נושא,נושא,מספר יחידות,מספר כיתות,עלות,קוד סטטוס,סטטוס,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,09/2024,,105,שרתים - חוות ומרכזים,139,4,2036.14,0,פעיל,8144.56,8144.56,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,10/2024,,105,שרתים - חוות ומרכזים,139,4,2240.61,0,פעיל,8962.44,8962.44,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,11/2024,,105,שרתים - חוות ומרכזים,139,4,2060.65,0,פעיל,8242.6,8242.6,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,12/2024,,105,שרתים - חוות ומרכזים,139,4,2033.27,0,פעיל,8133.08,8133.08,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,01/2025,,105,שרתים - חוות ומרכזים,139,4,2046.93,0,פעיל,8187.72,8187.72,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,02/2025,,105,שרתים - חוות ומרכזים,139,4,2046.93,0,פעיל,8187.72,8187.72,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,03/2025,,105,שרתים - חוות ומרכזים,139,4,2046.93,0,פעיל,8187.72,8187.72,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,04/2025,,105,שרתים - חוות ומרכזים,139,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,05/2025,,105,שרתים - חוות ומרכזים,139,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,06/2025,,105,שרתים - חוות ומרכזים,139,4,3425.39,0,פעיל,13701.56,13701.56,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,07/2025,,105,שרתים - חוות ומרכזים,139,4,2562.61,0,פעיל,10250.44,10250.44,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,08/2025,,105,שרתים - חוות ומרכזים,139,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,09/2025,,105,שרתים - חוות ומרכזים,137,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,10/2025,,105,שרתים - חוות ומרכזים,137,4,2339.95,0,פעיל,9359.8,9359.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,11/2025,,105,שרתים - חוות ומרכזים,137,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,12/2025,,105,שרתים - חוות ומרכזים,137,4,2154.19,0,פעיל,8616.76,8616.76,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,01/2026,,105,שרתים - חוות ומרכזים,137,4,2184.66,0,פעיל,8738.64,8738.64,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,02/2026,,105,שרתים - חוות ומרכזים,137,4,2184.66,0,פעיל,8738.64,8738.64,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,03/2026,,105,שרתים - חוות ומרכזים,137,4,2184.66,0,פעיל,8738.64,0,8738.64
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,09/2024,,109,מזכירים-חוות ומרכזים,139,4,646.11,0,פעיל,2584.44,2584.44,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,10/2024,,109,מזכירים-חוות ומרכזים,139,4,710.95,0,פעיל,2843.8,2843.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,11/2024,,109,מזכירים-חוות ומרכזים,139,4,653.88,0,פעיל,2615.52,2615.52,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,12/2024,,109,מזכירים-חוות ומרכזים,139,4,645.41,0,פעיל,2581.64,2581.64,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,01/2025,,109,מזכירים-חוות ומרכזים,139,4,649.74,0,פעיל,2598.96,2598.96,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,02/2025,,109,מזכירים-חוות ומרכזים,139,4,649.74,0,פעיל,2598.96,2598.96,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,03/2025,,109,מזכירים-חוות ומרכזים,139,4,649.74,0,פעיל,2598.96,2598.96,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,04/2025,,109,מזכירים-חוות ומרכזים,139,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,05/2025,,109,מזכירים-חוות ומרכזים,139,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,06/2025,,109,מזכירים-חוות ומרכזים,139,4,1086.59,0,פעיל,4346.36,4346.36,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,07/2025,,109,מזכירים-חוות ומרכזים,139,4,812.98,0,פעיל,3251.92,3251.92,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,08/2025,,109,מזכירים-חוות ומרכזים,139,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,09/2025,,109,מזכירים-חוות ומרכזים,137,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,10/2025,,109,מזכירים-חוות ומרכזים,137,4,742.36,0,פעיל,2969.44,2969.44,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,11/2025,,109,מזכירים-חוות ומרכזים,137,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,12/2025,,109,מזכירים-חוות ומרכזים,137,4,683.45,0,פעיל,2733.8,2733.8,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,01/2026,,109,מזכירים-חוות ומרכזים,137,4,693.23,0,פעיל,2772.92,2772.92,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,02/2026,,109,מזכירים-חוות ומרכזים,137,4,693.23,0,פעיל,2772.92,2772.92,0
3/2026,עירית כפר קרע,10406544,317115,מחוננים כפר קרע,03/2026,,109,מזכירים-חוות ומרכזים,137,4,693.23,0,פעיל,2772.92,0,2772.92
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,09/2024,א-ו חנ"מ,002,שרתים,0,3,2036.14,0,פעיל,6108.42,6108.42,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,10/2024,א-ו חנ"מ,002,שרתים,0,3,2240.61,0,פעיל,6721.83,6721.83,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,11/2024,א-ו חנ"מ,002,שרתים,0,3,2060.65,0,פעיל,6181.95,6181.95,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,12/2024,א-ו חנ"מ,002,שרתים,0,3,2033.27,0,פעיל,6099.81,6099.81,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,01/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,02/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,03/2025,א-ו חנ"מ,002,שרתים,0,3,2046.93,0,פעיל,6140.79,6140.79,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,04/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,05/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,06/2025,א-ו חנ"מ,002,שרתים,0,3,3425.39,0,פעיל,10276.17,10276.17,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,07/2025,א-ו חנ"מ,002,שרתים,0,3,2562.61,0,פעיל,7687.83,7687.83,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,08/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,09/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,10/2025,א-ו חנ"מ,002,שרתים,0,3,2339.95,0,פעיל,7019.85,7019.85,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,11/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,12/2025,א-ו חנ"מ,002,שרתים,0,3,2154.19,0,פעיל,6462.57,6462.57,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,01/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,6553.98,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,02/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,6553.98,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,03/2026,א-ו חנ"מ,002,שרתים,0,3,2184.66,0,פעיל,6553.98,0,6553.98
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,09/2024,א-יב חנ"מ,107,מזכירים,0,3,646.11,0,פעיל,1938.33,1938.33,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,10/2024,א-יב חנ"מ,107,מזכירים,0,3,710.95,0,פעיל,2132.85,2132.85,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,11/2024,א-יב חנ"מ,107,מזכירים,0,3,653.88,0,פעיל,1961.64,1961.64,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,12/2024,א-יב חנ"מ,107,מזכירים,0,3,645.41,0,פעיל,1936.23,1936.23,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,01/2025,א-יב חנ"מ,107,מזכירים,0,3,649.74,0,פעיל,1949.22,1949.22,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,02/2025,א-יב חנ"מ,107,מזכירים,0,3,649.74,0,פעיל,1949.22,1949.22,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,03/2025,א-יב חנ"מ,107,מזכירים,0,3,649.74,0,פעיל,1949.22,1949.22,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,04/2025,א-יב חנ"מ,107,מזכירים,0,3,683.45,0,פעיל,2050.35,2050.35,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,05/2025,א-יב חנ"מ,107,מזכירים,0,3,683.45,0,פעיל,2050.35,2050.35,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,06/2025,א-יב חנ"מ,107,מזכירים,0,3,1086.59,0,פעיל,3259.77,3259.77,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,07/2025,א-יב חנ"מ,107,מזכירים,0,3,812.98,0,פעיל,2438.94,2438.94,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,08/2025,א-יב חנ"מ,107,מזכירים,0,3,683.45,0,פעיל,2050.35,2050.35,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,09/2025,א-יב חנ"מ,107,מזכירים,0,3,683.45,0,פעיל,2050.35,2050.35,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,10/2025,א-יב חנ"מ,107,מזכירים,0,3,742.36,0,פעיל,2227.08,2227.08,0
3/2026,עירית כפר קרע,10406544,318188,אלמוסתקבל,11/2025,א-יב חנ"מ,107,מזכירים,0,3,683.45,0,פעיל,2050.35,2050.35,0
