חודש חישוב,שם מוטב,סמל מוטב,חודש תחולה,סוג רשות,תאור סוג הרשות,קוד נושא,נושא,חודש תחולה,עלות,מספר משרות,אחוז השתתפות,סכום מחושב,סכום מחושב קודם,הפרש מחושב
3/2026,עירית כפר קרע,10406544,01/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202501,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,02/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202502,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,03/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202503,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,04/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202504,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,05/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202505,25601.51,2,68,34818.05,34818.05,0
3/2026,עירית כפר קרע,10406544,06/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202506,32684.77,2,68,44451.29,44451.29,0
3/2026,עירית כפר קרע,10406544,07/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202507,28777.11,2.5,68,48921.09,48921.09,0
3/2026,עירית כפר קרע,10406544,08/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202508,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,09/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202509,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,10/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202510,26632.81,2.5,68,45275.78,45275.78,0
3/2026,עירית כפר קרע,10406544,11/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202511,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,12/2025,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202512,25601.51,2.5,68,43522.57,43522.57,0
3/2026,עירית כפר קרע,10406544,01/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202601,26539.85,2.5,68,45117.75,45117.75,0
3/2026,עירית כפר קרע,10406544,02/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202602,35585.18,2.5,68,60494.81,60494.81,0
3/2026,עירית כפר קרע,10406544,03/2026,3,רשויות קטנות,047,פסיכולוגים חינוכיים,202603,26539.85,2.5,68,45117.75,0,45117.75
